Volcano Number,Eruption Number,Volcano Name,Area of Activity,VEI,Start Date,days,End Date,Eruption Category,Evidence Method (dating),Latitude,Longitude
223020,14059,Nyamulagira,NNW fissure zone (Shabubembe-Ndakaza),2,1951-11-16,61,1952-01-16,Confirmed Eruption,Observations: Reported,-1.408,29.2
282110,17322,Asosan,Naka-dake,2,1950-11-16,61,1951-01-16,Confirmed Eruption,Observations: Reported,32.884,131.104
357110,12048,Llaima,SE crater and summit crater,2,1927-10-05,61,1927-12-05,Confirmed Eruption,Observations: Reported,-38.692,-71.729
357150,12212,Puyehue-Cordon Caulle,Cordón Caulle-Cordillera Nevada,3,1921-12-13,61,1922-02-12,Confirmed Eruption,Observations: Reported,-40.59,-72.117
282090,17154,Kirishimayama,Ohachi,2,1913-11-08,61,1914-01-08,Confirmed Eruption,Observations: Reported,31.934,130.862
263310,16045,Tengger Caldera,Bromo,2,1907-12-14,61,1908-02-13,Confirmed Eruption,Observations: Reported,-7.942,112.95
273030,16794,Mayon,,4,1897-05-23,61,1897-07-23,Confirmed Eruption,Observations: Reported,13.257,123.685
233020,14259,"Fournaise, Piton de la",,2,1813-09-26,61,1813-11-26,Confirmed Eruption,Observations: Reported,-21.244,55.708
211060,13699,Etna,"East flank (Valle del Bove, 2075-1875 m)",1,1702-03-08,61,1702-05-08,Confirmed Eruption,Observations: Reported,37.748,14.999
284010,18180,Izu-Oshima,,3,1338-09-15,61,1338-11-15,Confirmed Eruption,Observations: Reported,34.724,139.394
341040,22323,Colima,,1,2019-05-11,62,2019-07-12,Confirmed Eruption,Observations: Reported,19.514,-103.62
